Title,Domestic_Total_Gross,UK_Total_Gross,Actors,Country,British,Genre,Budget
Gangs of New York,77812000,16358580,"Brendan Gleeson, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent, Liam Neeson, Leonardo DiCaprio, John C. Reilly","USA, Italy",1,Drama,100000000
Gangster Squad,46000903,8209350,"Michael Pena, Giovanni Ribisi, Emma Stone, Josh Brolin, Ryan Gosling, Sean Penn, Robert Patrick, Anthony Mackie",USA,0,Drama,60000000
Garden State,26782316,2036326,"Natalie Portman, Zach Braff, Ian Holm, Peter Sarsgaard",USA,1,Comedy,2500000
Get Hard,79348835,6248605,"Will Ferrell, Kevin Hart, Craig T. Nelson, T.I., Alison Brie",USA,0,Comedy,40000000
Get Him to the Greek,60974475,10901662,"Aziz Ansari*, Jonah Hill, Russell Brand, Jake Johnson*, ""Sean P. Diddy Combs"", Rose Byrne, Elisabeth Moss",USA,1,Comedy,40000000
Get Rich or Die Tryin',30985352,3699933,"50 Cent, Viola Davis, Terrence Howard","USA, Canada",0,Drama,40000000
Get Smart,130319208,9015891,"Steve Carell, The Rock, Anne Hathaway, Terence Stamp",USA,1,Action,80000000
Ghost Rider,115802596,9188495,"Nicolas Cage, Peter Fonda, Eva Mendes, Sam Elliott, Wes Bentley, Rebel Wilson*","USA, Australia",0,Action,110000000
Ghost Rider: Spirit of Vengeance,51774002,4601073,"Nicolas Cage, Violante Placido, Ciaran Hinds, Idris Elba","USA, United Arab Emirates",1,Action,57000000
Ghost Town,13367624,10292743,"Tea Leoni, Ricky Gervais, Greg Kinnear, Kristen Wiig",USA,1,Comedy,20000000
Ghosts of Girlfriends Past,55250026,6859122,"Matthew McConaughey, Jennifer Garner, Michael Douglas, Emma Stone",USA,0,Comedy,
Glee The 3D Concert Movie,11862398,1150126,"Dianna Agron, Chris Colfer, Darren Criss, Kevin McHale",USA,0,Concert,9000000
Goal! The Dream Begins,4283255,3699444,Anna Friel,"USA, UK",0,Drama,
God's Not Dead,60755732,313027,"Kevin Sorbo, Shane Harper, David A.R. White, Dean Cain",USA,0,Drama,2000000
Godsend,14379751,3044537,"Greg Kinnear, Rebecca Romijn, Robert DeNiro","USA, Canada",0,Horror,25000000
Going the Distance,17804299,2124322,"Rob Riggle, Kristen Schaal, Drew Barrymore, Jason Sudeikis, Ron Livingston, Christina Applegate, Kelli Garner, Natalie Morales, Justin Long, Jim Gaffigan, Charlie Day",USA,0,Comedy,32000000
Gone,11682205,925917,"Joel David Moore, Amanda Seyfried, Wes Bentley, Daniel Sunjata, Sebastian Stan, Jennifer Carpenter",USA,0,Thriller,
Gone Baby Gone,20300218,3625002,"Morgan Freeman, Michelle Monaghan, Amy Ryan, Ed Harris, Casey Affleck",USA,0,Drama,19000000
Gone Girl,167767189,34643161,"Neil Patrick Harris, Boyd Holbrook*, Ben Affleck, Tyler Perry, Patrick Fugit, Carrie Coon, Scoot McNairy*, Emily Ratajkowski*, Rosamund Pike",USA,1,Thriller,61000000
Good Boy!,37667746,1343709,"(Voice), Matthew Broderick*",USA,0,Comedy,18000000
Good Luck Chuck,35017297,8155160,"Dan Fogler, Jessica Alba, Dane Cook","USA, Canada",0,Comedy,
"Good Night, and Good Luck.",31558003,4400071,"Frank Langella, David Strathairn, Patricia Clarkson, Jeff Daniels, George Clooney, Robert Downey, Jr.","USA, France, UK, Japan",0,Drama,7000000
Goon,4168528,2816630,"Alison Pill, Liev Schreiber, Seann William Scott, Eugene Levy, Jay Baruchel","USA, Canada",0,Comedy,
Gothika,59694580,9623405,"Halle Berry, Penelope Cruz, Robert Downey, Jr.",USA,0,Horror,40000000
Gravity,274092705,53115202,"Sandra Bullock, George Clooney","USA, UK",0,Thriller,100000000
Green Lantern,116601172,10082852,"Angela Bassett, Michael Clarke Duncan*, (Voice), Tim Robbins, Blake Lively, Ryan Reynolds, Peter Sarsgaard, Mark Strong",USA,1,Action,200000000
Green Street Hooligans,346830,2301097,Elijah Wood,"USA, UK",0,Crime,
Greenberg,4234170,420341,"Rhys Ifans, Greta Gerwig, Juno Temple, Ben Stiller, Chris Messina, Jennifer Jason Leigh",USA,1,Comedy,
Gridiron Gang,38432823,443628,The Rock,USA,0,Drama,30000000
Grizzly Man,3178403,409755,"Werner Herzog, Carol Dexter, Val Dexter, Sam Egli",USA,0,Documentary,
Grown Ups,162001186,12161427,"Maya Rudolph, Norm MacDonald, Adam Sandler, Rob Schneider, Steve Buscemi, Jamie Chung*, Salma Hayek, Kevin James, David Spade, Maria Bello, Chris Rock",USA,0,Comedy,80000000
Grown Ups 2,133668525,13566641,"Maya Rudolph, Adam Sandler, Nick Swardson, Taylor Lautner, Salma Hayek, Kevin James, David Spade, Maria Bello, Chris Rock",USA,0,Comedy,80000000
Grudge Match,29807260,746713,"Kim Basinger, Alan Arkin, Jon Bernthal, Kevin Hart, Anthony Anderson, Sylvester Stallone, Robert DeNiro",USA,0,Comedy,40000000
Guardians of the Galaxy,333176600,47385948,"Glenn Close, Lee Pace, John C. Reilly, Dave Bautista, Djimon Hounsou, Josh Brolin*, (Voice), Chris Pratt, Karen Gillan, Vin Diesel, Benicio Del Toro, Bradley Cooper, Zoe Saldana","USA, UK",1,Action,170000000
Guess Who,68915888,4283766,"Ashton Kutcher, Bernie Mac, Zoe Saldana",USA,0,Comedy,
Gulliver's Travels,42779261,24736921,"Emily Blunt, Billy Connolly, Jack Black, Amanda Peet, Jason Segel",USA,1,Adventure,112000000
Hairspray,118871849,25780499,"John Travolta, Zac Efron, Queen Latifah, Brittany Snow, Nikki Blonsky, Amanda Bynes, Christopher Walken, James Marsden, Michelle Pfeiffer","USA, UK",0,Drama,
Half Nelson,2697938,524775,"Anthony Mackie*, Ryan Gosling",USA,0,Drama,
Hall Pass,45060734,5206774,"Richard Jenkins, Christina Applegate, Owen Wilson, Jason Sudeikis, Jenna Fischer",USA,0,Comedy,36000000
Halloween,58272029,3629122,"Donald Pleasence, Jamie Lee Curtis, Nancy Kyes, P.J. Soles",USA,0,Horror,
Halloween II,33392973,2105571,"Jamie Lee Curtis, Donald Pleasence, Charles Cyphers, Jeffrey Kramer",USA,0,Horror,15000000
Hancock,227946274,49170891,"Jason Bateman, Charlize Theron, Will Smith",USA,0,Drama,150000000
Hanna,40259119,6090635,"Tom Hollander, Cate Blanchett, Eric Bana, Olivia Williams, Jason Flemyng, Saoirse Ronan","USA, UK, Germany",1,Adventure,30000000
Happily N'Ever After,15589393,602537,"George Carlin , Sarah Michelle Gellar, Sigourney Weaver, (Voice), Freddie Prinze, Jr.","USA, Germany",0,Animation,
Hard Candy,1024640,3301544,"Patrick Wilson, Ellen Page",USA,0,Drama,
Harry Potter and the Deathly Hallows Part 2,381011219,117228296,"Julie Walters*, Helena Bonham Carter, Ciaran Hinds*, Timothy Spall*, Robbie Coltrane*, Tom Felton*, Maggie Smith*, Bonnie Wright*, Emma Thompson*, Jason Isaacs*, Daniel Radcliffe, Kelly Macdonald*, Warwick Davis*, Miranda Richardson*, Rupert Grint, Jim Broadbent*, David Thewlis*, Emma Watson, Ralph Fiennes, Gary Oldman*, Michael Gambon*, Alan Rickman, John Hurt*","USA, UK",1,Fantasy,
Harsh Times,3337931,1425718,"Freddy Rodriguez, Christian Bale, Eva Longoria",USA,1,Crime,
Haywire,18942396,3682205,"Bill Paxton, Ewan McGregor, Antonio Banderas, Michael Fassbender, Michael Douglas, Gina Carano, Michael Angarano, Channing Tatum, Mathieu Kassovitz*","USA, Ireland",1,Action,23000000
Hellboy,59623958,5601927,"Ron Perlman, John Hurt, Selma Blair, Rupert Evans",USA,1,Action,66000000
Hellboy II: The Golden Army,75986503,13962118,"Seth MacFarlane, Selma Blair, (Voice), Ron Perlman","USA, Germany",0,Action,85000000
Her,25568251,2331512,"Joaquin Phoenix, (Voice), Chris Pratt, Scarlett Johansson, Olivia Wilde, Amy Adams, Rooney Mara",USA,0,Comedy,23000000
Herbie: Fully Loaded,66023816,11937455,"Breckin Meyer, Matt Dillon, Justin Long, Lindsay Lohan, Michael Keaton",USA,0,Comedy,50000000
Hercules,72688614,9112916,"The Rock, Rufus Sewell, Ian McShane, Joseph Fiennes, John Hurt",USA,1,Action,100000000
Here Comes the Boom,45290318,1388514,"Salma Hayek, Kevin James, Henry Winkler",USA,0,Comedy,
Hereafter,32746941,2244176,"Bryce Dallas Howard, Matt Damon, Cecile de France, Jay Mohr, Richard Kind",USA,0,Drama,50000000
Hidalgo,67303450,1756048,Viggo Mortensen,"USA, Morocco",0,Adventure,100000000
Hide and Seek,51100486,7263878,"Melissa Leo, Elizabeth Shue, Famke Janssen, Robert DeNiro, Dakota Fanning","USA, Germany",0,Thriller,
High School Musical 3: Senior Year,90559416,33900140,"Zac Efron, Vanessa Hudgens",USA,0,Drama,11000000
Hitch,179495555,33371422,"Kevin James, Eva Mendes, Paula Patton*, Will Smith",USA,0,Comedy,70000000
Hitchcock,6008677,2392662,"""James DArcy"", Jessica Biel, Danny Huston, Scarlett Johansson, Toni Collette, Helen Mirren, Michael Stuhlbarg, Anthony Hopkins","USA, UK",1,Drama,
Hollywood Homicide,30940691,1436217,"Josh Hartnett, Bruce Greenwood, Harrison Ford, Lena Olin, Keith David, Anthony Mackie*",USA,0,Action,75000000
Hollywoodland,14426251,334670,"Diane Lane, Adrien Brody, Bob Hoskins, Ben Affleck",USA,1,Drama,
Home on the Range,50030461,3054526,"Cuba Gooding, Jr.*, Randy Quaid*, (Voice), Judi Dench*",USA,0,Animation,110000000
Homefront,20158898,1841216,"Jason Statham, Winona Ryder, James Franco, Kate Bosworth, Frank Grillo",USA,1,Action,22000000
Honey,30308417,6076374,Jessica Alba,USA,0,Drama,18000000
Hop,108085305,12235046,"Kaley Cuoco, Hugh Laurie, Chelsea Handler, (Voice), Elizabeth Perkins, Russell Brand, James Marsden",USA,1,Comedy,63000000
Hope Springs,63536011,6527288,"Steve Carell, Tommy Lee Jones, Jean Smart, Meryl Streep, Mimi Rogers*",USA,0,Comedy,
Horns,173948,1009441,"Max Minghella, Juno Temple, Daniel Radcliffe, David Morse, Heather Graham","USA, Canada",1,Drama,
Horrible Bosses,117538559,16952604,"Jennifer Aniston, Jason Sudeikis, Kevin Spacey, Julie Bowen*, Donald Sutherland*, Jamie Foxx, Jason Bateman, Colin Farrell, Charlie Day",USA,0,Comedy,35000000
Horrible Bosses 2,54445357,5674379,"Jennifer Aniston, Jason Sudeikis, Kevin Spacey, Chris Pine, Christoph Waltz, Jamie Foxx, Jason Bateman, Charlie Day",USA,0,Comedy,42000000
Hostage,34639939,7757791,"Ben Foster, Bruce Willis, Kevin Pollak","USA, Germany",0,Action,
Hostel,47326473,7358926,"Jay Hernandez, Derek Richardson, Eythor Gudjonsson, Barbara Nedeljakova",USA,0,Horror,4800000
Hostel Part II,17609452,3532341,"Lauren German, Roger Bart, Heather Matarazzo, Bijou Phillips",USA,0,Horror,10200000
Hot Tub Time Machine,50287556,4161389,"John Cusack, Rob Corddry, Chevy Chase, Clark Duke",USA,0,Comedy,36000000
Hotel Transylvania,148313048,265516,", Fran Drescher , Adam Sandler,  , Andy Samberg, (Voice), Kevin James, Molly Shannon* , Selena Gomez",USA,0,Animation,85000000
House at the End of The Street,31611916,3819271,"Elizabeth Shue, Max Thieriot, Jennifer Lawrence","USA, Canada",0,Thriller,10000000
House of Sand and Fog,13040288,525621,"Jennifer Connelly, Ben Kingsley",USA,1,Drama,16500000
How Do You Know,30212620,1184135,"Paul Rudd, Owen Wilson, Reese Witherspoon, Jack Nicholson",USA,0,Comedy,120000000
How to Lose a Guy in 10 Days,105813373,10988299,"Matthew McConaughey, Kate Hudson","USA, Germany",0,Comedy,
How to Train Your Dragon,217581231,26488493,",  , Gerard Butler, (Voice), TJ Miller , Jay Baruchel, America Ferrera, Jonah Hill",USA,1,Animation,165000000
How to Train Your Dragon 2,177002924,41547592,",  , Gerard Butler, Craig Ferguson , (Voice), Jay Baruchel, Kristen Wiig, Kit Harington ",USA,1,Animation,145000000
Hugo,73864507,8743731,"Ben Kingsley, Ray Winstone*, Sacha Baron Cohen, Emily Mortimer*, Christopher Lee*, Richard Griffiths*, Jude Law, Chloe Moretz",USA,1,Adventure,
Hulk,132177234,13901681,"Eric Bana, Nick Nolte, Jennifer Connelly, Josh Lucas, Sam Elliott",USA,0,Action,137000000
I Am Legend,256393010,51672734,Will Smith,USA,0,Horror,150000000
I Am Number Four,55100437,5045495,"Teresa Palmer, Callan McAuliffe, Dianna Agron, Timothy Olyphant, Alex Pettyfer, Kevin Durand",USA,1,Adventure,60000000
I Don't Know How She Does It,9662284,2196230,"Kelsey Grammer, Greg Kinnear, Sarah Jessica Parker, Pierce Brosnan, Christina Hendricks, Seth Meyers",USA,0,Comedy,24000000
I Heart Huckabees,12785432,1122687,"Naomi Watts, Lily Tomlin, Isla Fisher*, Jude Law, Dustin Hoffman, Jonah Hill*, Mark Wahlberg, Jason Schwartzman","USA, UK, Germany",1,Comedy,20000000
"I, Robot",144801023,32993462,"Bridget Moynahan, Bruce Greenwood, Will Smith, Chi McBride, Alan Tudyk, James Cromwell, Shia LaBeouf","USA, Germany",0,Thriller,120000000
Ice Age: Continental Drift,161321843,46865098,",  , John Leguizamo, (Voice), Jennifer Lopez, Ray Romano , Josh Peck* , Alan Tudyk* ",USA,0,Animation,95000000
Ice Age: Dawn of the Dinosaurs,196573705,56859040,",  , Joey King*, Simon Pegg, (Voice), Queen Latifah, Ray Romano , Kristen Wiig*",USA,1,Animation,90000000
Ice Age: The Meltdown,195330621,52328887,"John Leguizamo, Ray Romano, Queen Latifah, Denis Leary",USA,0,Animation,80000000
Identity,52159536,5282390,"John Cusack, Amanda Peet, Alfred Molina",USA,1,Thriller,28000000
Identity Thief,134506920,7462409,"Jon Favreau, Melissa McCarthy, Amanda Peet, Genesis Rodriguez, T.I., Jason Bateman, John Cho, Morris Chestnut",USA,0,Comedy,35000000
If I Stay,50474843,2582529,"Chloe Moretz, Mireille Enos, Stacy Keach",USA,0,Drama,11000000
Immortals,83504017,9780526,"Freida Pinto, John Hurt, Stephen Dorff, Isabel Lucas, Mickey Rourke, Henry Cavill, Luke Evans, Kellan Lutz",USA,1,Drama,75000000
In Good Company,45806659,2387804,"Philip Baker Hall, Topher Grace, Clark Gregg, David Paymer, Scarlett Johansson, Ty Burrell*, Marg Helgenberger, Selma Blair, Dennis Quaid",USA,0,Comedy,
In Her Shoes,32880591,7700725,"Shirley MacLaine, Toni Collette, Cameron Diaz","USA, Germany, UK",0,Comedy,
In Search of a Midnight Kiss,172605,401614,"Scoot McNairy, Sara Simmonds, Brian McGuire, Kathleen Luong",USA,0,Romance,
In Time,37520095,8634105,"Olivia Wilde, Cillian Murphy, Vincent Kartheiser, Amanda Seyfried, Alex Pettyfer, Justin Timberlake, Johnny Galecki",USA,1,Thriller,40000000
In the Valley of Elah,6777741,1734605,"Tommy Lee Jones, Josh Brolin, Zoe Kazan, Susan Sarandon, Charlize Theron",USA,0,Drama,
Inception,292576195,56566947,"Ellen Page, Tom Berenger, Ken Watanabe, Cillian Murphy, Marion Cotillard, Joseph Gordon-Levitt, Lukas Haas*, Michael Caine, Tom Hardy, Leonardo DiCaprio","USA, UK",1,Action,160000000
Indiana Jones and the Kingdom of the Crystal Skull,317101119,79283312,"John Hurt, Harrison Ford, Cate Blanchett, Jim Broadbent*, Ray Winstone, Karen Allen, Shia LaBeouf",USA,1,Adventure,185000000
Inglourious Basterds,120540719,16439434,"Christoph Waltz, Diane Kruger, Brad Pitt, Michael Fassbender, Melanie Laurent, Til Schweiger, Mike Myers","USA, Germany",0,War,70000000
Inherent Vice,8110975,1127325,"Joaquin Phoenix, Jena Malone, Reese Witherspoon, Josh Brolin, Owen Wilson, Maya Rudolph*, Benicio Del Toro",USA,0,Crime,
Inside Job,4312735,516001,"Matt Damon, William Ackman, Daniel Alpert, Jonathan Alpert",USA,0,Documentary,2000000
Inside Llewyn Davis,13235319,4104571,"Justin Timberlake, Oscar Isaac, Carey Mulligan, Garrett Hedlund, John Goodman","USA, UK, France",1,Comedy,
Inside Man,88513495,14477305,"Willem Dafoe, Clive Owen, Jodie Foster, Denzel Washington",USA,1,Thriller,45000000
Insidious,54009150,11545946,"Patrick Wilson, Barbara Hershey, Rose Byrne","USA, Canada",0,Horror,1500000
Insidious Chapter 2,83586447,11556462,"Patrick Wilson, Rose Byrne","USA, Canada",0,Horror,5000000
Insomnia,67355513,7871664,"Al Pacino, Robin Williams, Martin Donovan, Hilary Swank","USA, Canada",0,Thriller,46000000
Interstellar,188020017,31379615,"Matthew McConaughey, Matt Damon*, Topher Grace, David Oyelowo*, Michael Caine, Ellen Burstyn, Casey Affleck, Wes Bentley, Bill Irwin, John Lithgow, Anne Hathaway, Jessica Chastain","USA, UK, Canada",1,Adventure,165000000
Into The Storm,47602194,4548316,"Jeremy Sumpter, Sarah Wayne Callies, Richard Armitage, Matt Walsh",USA,1,Thriller,50000000
Into the Blue,18801234,3100986,"Jessica Alba, Josh Brolin, Paul Walker",USA,0,Action,
Into the Wild,18354356,1987817,"Zach Galifianakis*, Vince Vaughn, Hal Holbrook, Jena Malone, William Hurt, Catherine Keener, Marcia Gay Harden, Emile Hirsch, Kristen Stewart",USA,0,Adventure,
Into the Woods,128002372,14859690,"Emily Blunt, James Corden, Meryl Streep, Chris Pine, Anna Kendrick, Johnny Depp","USA, UK, Canada",1,Drama,50000000
Intolerable Cruelty,35327628,11104013,"Geoffrey Rush, Billy Bob Thornton, George Clooney, Cedric the Entertainer, Catherine Zeta-Jones",USA,0,Comedy,
Invictus,37491364,6870705,"Morgan Freeman, Matt Damon",USA,0,Drama,60000000
Iron Man,318412101,1891944,"Samuel L. Jackson*, Clark Gregg, (Voice), Jeff Bridges, Jon Favreau*, Paul Bettany*, Terrence Howard, Gwyneth Paltrow, Robert Downey, Jr., (Cameo)",USA,0,Action,140000000
Iron Man 3,409013994,57074453,"Don Cheadle, Mark Ruffalo*, (Cameo), Ben Kingsley, (Voice), James Badge Dale, Jon Favreau, Rebecca Hall, Guy Pearce, Paul Bettany*, Gwyneth Paltrow, Robert Downey, Jr.","USA, China",1,Action,200000000
It's Complicated,112735375,13881029,"Steve Martin, Meryl Streep, Lake Bell, John Krasinski, Alec Baldwin, Zoe Kazan","USA, Japan",0,Comedy,85000000
J. Edgar,37306030,1647423,"Naomi Watts, Judi Dench, Armie Hammer, Josh Lucas, Leonardo DiCaprio",USA,1,Drama,35000000
Jack Reacher,80070736,15230207,"David Oyelowo, Werner Herzog, Tom Cruise, Jai Courtney, Robert Duvall, Richard Jenkins, Rosamund Pike",USA,1,Drama,60000000
Jack Ryan: Shadow Recruit,50577412,5579249,"Keira Knightley, Chris Pine, Kevin Costner, Kenneth Branagh","USA, Russia",1,Action,60000000
Jack and Jill,74158157,5185578,"Al Pacino, Adam Sandler, Nick Swardson, Katie Holmes, Allen Covert, Norm MacDonald*, David Spade*",USA,0,Comedy,79000000
Jack the Giant Slayer,65187603,11611710,"Ewan McGregor, Eddie Marsan, Nicholas Hoult, Ian McShane, Eleanor Tomlinson, Bill Nighy* , Stanley Tucci",USA,1,Adventure,195000000
Jackass Presents: Bad Grandpa,102003019,10493198,Johnny Knoxville,USA,0,Comedy,15000000
Jackass: Number Two,72778712,2745270,Johnny Knoxville,USA,0,Comedy,11500000
Jason X,13121555,646927,"Kane Hodder, Jeff Geddis, Lexa Doig, David Cronenberg",USA,0,Horror,11000000
Jeepers Creepers 2,35667218,5749567,"Justin Long*, (Cameo)",USA,0,Horror,17000000
"Jeff, Who Lives at Home",4269426,314493,"Jason Segel, Ed Helms, Judy Greer, Susan Sarandon",USA,0,Comedy,
Jennifer's Body,16204793,884511,"Amanda Seyfried, Chris Pratt, Megan Fox",USA,0,Horror,16000000
Jersey Boys,47047013,2693097,Christopher Walken,USA,0,Drama,40000000
Jersey Girl,25268157,987460,"Matt Damon*, (Cameo), Ben Affleck, Jennifer Lopez, Liv Tyler, Will Smith*",USA,0,Comedy,35000000
John Carter,73078100,7431120,"Taylor Kitsch, , Samantha Morton , Lynn Collins,  ",USA,0,Adventure,250000000
John Tucker Must Die,41011711,7273502,"Arielle Kebbel, Brittany Snow, Sophia Bush, Penn Badgley, Jenny McCarthy, Jesse Metcalfe, Taylor Kitsch*, Ashanti Douglas, Amanda Crew*","USA, Canada",0,Comedy,18000000
John Wick,43037835,789723,"Bridget Moynahan, Keanu Reeves, Adrianne Palicki, Alfie Allen, Lance Reddick, Ian McShane, Jason Isaacs, Willem Dafoe, Michael Nyqvist",USA,1,Action,20000000
Johnny English Reborn,8305970,33096980,"Rowan Atkinson, Rosamund Pike, Dominic West, Gillian Anderson","USA, France, UK",1,Action,45000000
Journey 2: The Mysterious Island,103860290,10709999,"The Rock, Vanessa Hudgens, Kristin Davis, Luis Guzman, Josh Hutcherson, Michael Caine",USA,1,Adventure,79000000
Julie & Julia,94125426,3996292,"Amy Adams, Stanley Tucci, Meryl Streep, Chris Messina, Jane Lynch",USA,0,Comedy,40000000
Jumper,80172128,17042267,"Diane Lane*, Rachel Bilson, Kristen Stewart*, Samuel L. Jackson, AnnaSophia Robb*, Max Thieriot*, Hayden Christensen, Jamie Bell","USA, Canada",1,Fantasy,85000000
Junebug,2678691,399619,Amy Adams,USA,0,Comedy,
Juno,143495265,19223726,"Ellen Page, Jennifer Garner, Allison Janney, J.K. Simmons, Rainn Wilson, Michael Cera, Olivia Thirlby, Jason Bateman",USA,0,Comedy,7500000
Jupiter Ascending,47248274,6551281,"Sean Bean, Gugu Mbatha-Raw, Eddie Redmayne, Channing Tatum, Mila Kunis","USA, UK",1,Sci-Fi,176000000
Jurassic Park 3D,45385935,633512,"Graham D. Clark, Kathleen Kennedy, Steven Spielberg",USA,0,Horror,10000000
Just Go With It,103028109,9287544,"Rachel Dratch*, Adam Sandler, Jennifer Aniston, Nick Swardson, Minka Kelly*, Allen Covert*, Brooklyn Decker, Nicole Kidman",USA,0,Comedy,80000000
Just Like Heaven,48318130,9401998,"Mark Ruffalo, Jon Heder, Reese Witherspoon",USA,0,Comedy,58000000
Just Married,56127162,5809664,"Brittany Murphy, Ashton Kutcher","USA, Germany",0,Comedy,18000000
Just My Luck,17326650,3845126,"Chris Pine, Lindsay Lohan",USA,0,Comedy,
Justin Bieber: Never Say Never,73013910,3741695,Justin Bieber,USA,0,Documentary,13000000
Katy Perry: Part of Me,25326071,1802018,"Katy Perry, Adam Marcello, Casey Hooper, Patrick Matera",USA,0,Documentary,12000000
Kick-Ass 2,28795985,8527780,"Christopher Mintz-Plasse, John Leguizamo, Jim Carrey, Morris Chestnut, Clark Duke, Aaron Johnson, Chloe Moretz","USA, UK, Japan",0,Action,28000000
Kicking and Screaming,52842724,1364703,"Will Ferrell, Josh Hutcherson, Robert Duvall",USA,0,Comedy,45000000
Kill Bill Vol. 1,70099045,20966844,"Lucy Liu, Daryl Hannah, Vivica A. Fox, Uma Thurman",USA,0,Action,30000000
Kill Bill Vol. 2,66208183,16871657,"(Cameo), Samuel L. Jackson*, Uma Thurman",USA,0,Action,30000000
Killer Joe,1987762,1286303,"Matthew McConaughey, Thomas Haden Church, Juno Temple, Emile Hirsch",USA,1,Comedy,
Killers,47059963,4891812,"Rob Riggle, ""Catherine OHara"", Tom Selleck, Katherine Heigl, Ashton Kutcher",USA,0,Action,75000000
Killing Them Softly,15026056,4413834,"Richard Jenkins, Brad Pitt, James Gandolfini, Ray Liotta",USA,0,Thriller,15000000
King Arthur,51882244,12848085,"Mads Mikkelsen, Til Schweiger, Clive Owen, Joel Edgerton, Ray Stevenson, Stellan Skarsgard, Keira Knightley, Hugh Dancy, Stephen Dillane, Ioan Gruffudd","USA, UK, Ireland",1,Adventure,120000000
Kingdom of Heaven,47398413,14535907,"Brendan Gleeson, Michael Sheen, Jeremy Irons, Edward Norton*, Eva Green, Liam Neeson, Orlando Bloom","USA, UK, Spain, Germany, Morocco",1,Epic,130000000
Kinky Boots,1822428,5147016,"Joel Edgerton, Chiwetel Ejiofor, Nick Frost","USA, UK",1,Comedy,
Kinsey,10254979,710145,"Laura Linney, ""Chris ODonnell"", Liam Neeson, Peter Sarsgaard, John Krasinski*","USA, Germany",1,Drama,11000000
"Kiss Kiss, Bang Bang",4243756,2833928,"Val Kilmer, Robert Downey, Jr., Michelle Monaghan",USA,0,Action,15000000
Knight & Day,76423035,14099616,"Marc Blucas, Cameron Diaz, Maggie Grace, Tom Cruise, Viola Davis, Peter Sarsgaard, Paul Dano","USA, UK",0,Comedy,117000000
Knocked Up,148768917,16555361,"Adam Scott*, Jason Segel, Steve Carell*, Kristen Wiig, (Cameo), James Franco*, Jay Baruchel, Harold Ramis*, Jonah Hill, Paul Rudd, Leslie Mann, Katherine Heigl, Seth Rogen",USA,0,Comedy,30000000
Kung Fu Panda,215434591,39405501,"Angelina Jolie, , Jack Black,  , Michael Clarke Duncan*, Ian McShane , Dan Fogler*, (Voice), Dustin Hoffman",USA,0,Animation,130000000
Kung Fu Panda 2,165249063,2684441,"Angelina Jolie, , Jack Black,  , David Cross , Lucy Liu, (Voice), Jackie Chan, Jean-Claude Van Damme , Dustin Hoffman, Seth Rogen",USA,0,Animation,150000000
Labor Day,13371528,1164374,"James Van Der Beek, Kate Winslet, Josh Brolin",USA,1,Drama,18000000
Ladder 49,74541707,1385379,"Joaquin Phoenix, Billy Burke, John Travolta",USA,0,Action,
Lady in the Water,42285169,2105760,"Bryce Dallas Howard, Paul Giamatti, Jeffrey Wright, Freddy Rodriguez, Jared Harris*, M. Night Shyamalan",USA,0,Drama,70000000
Lakeview Terrace,39263506,790898,"Patrick Wilson, Samuel L. Jackson, Kerry Washington",USA,0,Drama,20000000
Lara Croft Tomb Raider: The Cradle of Life,65660196,8636601,"Angelina Jolie, Gerard Butler, Djimon Hounsou, Til Schweiger, Noah Taylor, Ciaran Hinds","USA, Germany, Japan, UK",1,Action,95000000
Larry Crowne,35608245,2275388,"Nia Vardalos*, Taraji P. Henson, George Takei, Rita Wilson*, Wilmer Valderrama, Tom Hanks, Bryan Cranston, Julia Roberts, Cedric the Entertainer",USA,0,Comedy,30000000
Lars and the Real Girl,5972884,891507,Ryan Gosling,"USA, Canada",0,Comedy,12000000
Lassie,652163,2236185,"Tom Guiry, Helen Slater, Jon Tenney, Brittany Boyd",USA,0,Adventure,
Last Holiday,38399961,2074459,Queen Latifah,USA,0,Comedy,45000000
Last Night,98986,258250,"Sam Worthington, Keira Knightley, Eva Mendes","USA, France",1,Romance,
Last Vegas,63914167,11476116,"Morgan Freeman, Mary Steenburgen, Michael Douglas, Robert DeNiro, Kevin Kline",USA,0,Comedy,28000000
Law Abiding Citizen,73357727,9877854,"Gerard Butler, Jamie Foxx, Viola Davis",USA,1,Thriller,50000000
Lawless,37400127,6858142,"Gary Oldman, Dane DeHaan*, Jason Clarke, Shia LaBeouf, Guy Pearce, Tom Hardy, Jessica Chastain, Mia Wasikowska",USA,1,Drama,
Lay the Favorite,20998,349806,"Joshua Jackson, Rebecca Hall, Bruce Willis, Vince Vaughn, Catherine Zeta-Jones","USA, UK, France",1,Comedy,
Leap Year,25918920,2740697,"Amy Adams, Adam Scott, Matthew Goode","USA, Ireland",1,Comedy,19000000
Leatherheads,31373938,2177829,"John Krasinski, Jonathan Pryce*, George Clooney, Renee Zellweger","USA, Germany",0,Comedy,58000000
Lee Daniels' The Butler,116632095,6804034,"Robin Williams, Jane Fonda, David Oyelowo, Forest Whitaker, Mariah Carey*, Lenny Kravitz, Oprah Winfrey, Liev Schreiber, Minka Kelly*, Terrence Howard, James Marsden, John Cusack, Cuba Gooding, Jr., Vanessa Redgrave, Alex Pettyfer*, Alan Rickman",USA,1,Drama,30000000
